#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
54.0%	5400	30.79999999999381	-375501.47989037796	58628.080864557065	-316873.3990258209	293.707820610449	233.77752229846175	1.0223379493123954	78.1	11.730447053909302	0:10
55.0%	5500	30.999999999993697	-375372.3104086886	58878.290731362154	-316494.01967732643	294.9612915341234	234.13089554139881	1.0207949369060627	78	11.961603164672852	0:09
56.0%	5600	31.199999999993587	-375114.8177122355	58836.1591378717	-316278.6585743638	294.7502258072491	234.33348858618285	1.0199124085247562	78.1	12.175997257232666	0:09
57.0%	5700	31.399999999993476	-375622.26317782025	59138.24398404743	-316484.0191937728	296.26357368596763	234.21432659950995	1.0204313126865838	78.1	12.396860122680664	0:09
58.0%	5800	31.599999999993365	-375332.37059256085	58944.61612611567	-316387.7544664452	295.2935604205839	233.97175489904865	1.0214892513203693	78.1	12.614044189453125	0:09
59.0%	5900	31.799999999993254	-375300.78465506085	59054.96569217066	-316245.8189628902	295.84637623978495	233.97175489904865	1.0214892513203693	78.1	12.830344200134277	0:09
60.0%	6000	31.999999999993143	-375939.2332027969	59775.62312953413	-316163.61007326277	299.45663811794054	233.290954632509	1.0244702076787582	78	13.063086032867432	0:08
61.0%	6100	32.19999999999339	-375643.4363277969	59827.3918626816	-315816.0444651153	299.71598281359303	233.290954632509	1.0244702076787582	78.1	13.277339220046997	0:08
62.0%	6200	32.39999999999363	-375555.10151434434	59846.840791655355	-315708.260722689	299.8134156897481	233.2668452351802	1.0245760922474096	78.1	13.501471042633057	0:08
63.0%	6300	32.59999999999388	-374689.61323309434	59347.40596771764	-315342.2072653767	297.311407922948	233.2668452351802	1.0245760922474096	78.1	13.723297119140625	0:08
64.0%	6400	32.79999999999412	-374834.80073309434	59810.952935409034	-315023.8477976853	299.6336290774447	233.2668452351802	1.0245760922474096	78.1	13.946291208267212	0:07
65.0%	6500	32.999999999994365	-374106.0210636712	59374.4805172045	-314731.5405464667	297.4470427042086	233.581123011344	1.023197549788024	78	14.169929027557373	0:07
